embedding_id,repository_name,file_path,language
341,redux,test/typescript/actionCreators.test-d.ts,typescript
342,redux,test/typescript/store.test-d.ts,typescript
343,redux,test/typescript/reducers.test-d.ts,typescript
344,redux,test/typescript/dispatch.test-d.ts,typescript
345,redux,test/typescript/enhancers.test-d.ts,typescript
346,redux,test/typescript/middleware.test-d.ts,typescript
347,redux,test/utils/formatProdErrorMessage.spec.ts,typescript
348,redux,test/utils/isAction.spec.ts,typescript
349,redux,test/utils/warning.spec.ts,typescript
350,redux,test/utils/isPlainObject.spec.ts,typescript
351,redux,test/helpers/middleware.ts,typescript
352,redux,test/helpers/actionTypes.ts,typescript
353,redux,test/helpers/reducers.ts,typescript
354,redux,test/helpers/actionCreators.ts,typescript
355,redux,website/docusaurus.config.ts,typescript
356,redux,website/sidebars.js,javascript
357,redux,website/src/js/monokaiTheme.js,javascript
358,redux,website/src/pages/errors.js,javascript
359,redux,examples/testAll.js,javascript
360,redux,examples/universal/index.js,javascript
361,redux,examples/universal/webpack.config.js,javascript
362,redux,examples/universal/server/server.js,javascript
363,redux,examples/universal/server/index.js,javascript
364,redux,examples/universal/common/components/Counter.js,javascript
365,redux,examples/universal/common/actions/index.js,javascript
366,redux,examples/universal/common/api/counter.js,javascript
367,redux,examples/universal/common/containers/App.js,javascript
368,redux,examples/universal/common/reducers/index.js,javascript
369,redux,examples/universal/common/reducers/counter.js,javascript
370,redux,examples/universal/common/store/configureStore.js,javascript
371,redux,examples/universal/client/index.js,javascript
372,redux,examples/async/src/index.js,javascript
373,redux,examples/async/src/components/Posts.js,javascript
374,redux,examples/async/src/components/Picker.js,javascript
375,redux,examples/async/src/actions/index.js,javascript
376,redux,examples/async/src/containers/App.js,javascript
377,redux,examples/async/src/reducers/index.js,javascript
378,redux,examples/counter-ts/src/index.tsx,typescript
379,redux,examples/counter-ts/src/App.tsx,typescript
380,redux,examples/counter-ts/src/App.test.tsx,typescript
381,redux,examples/counter-ts/src/setupTests.ts,typescript
382,redux,examples/counter-ts/src/reportWebVitals.ts,typescript
383,redux,examples/counter-ts/src/react-app-env.d.ts,typescript
384,redux,examples/counter-ts/src/app/hooks.ts,typescript
385,redux,examples/counter-ts/src/app/store.ts,typescript
386,redux,examples/counter-ts/src/features/counter/counterSlice.spec.ts,typescript
387,redux,examples/counter-ts/src/features/counter/Counter.tsx,typescript
388,redux,examples/counter-ts/src/features/counter/counterSlice.ts,typescript
389,redux,examples/counter-ts/src/features/counter/counterAPI.ts,typescript
390,redux,examples/real-world/src/index.js,javascript
391,redux,examples/real-world/src/middleware/api.js,javascript
392,redux,examples/real-world/src/components/User.js,javascript
393,redux,examples/real-world/src/components/List.js,javascript
394,redux,examples/real-world/src/components/Explore.js,javascript
395,redux,examples/real-world/src/components/Repo.js,javascript
396,redux,examples/real-world/src/actions/index.js,javascript
397,redux,examples/real-world/src/containers/Root.dev.js,javascript
398,redux,examples/real-world/src/containers/Root.prod.js,javascript
399,redux,examples/real-world/src/containers/RepoPage.js,javascript
400,redux,examples/real-world/src/containers/UserPage.js,javascript
401,redux,examples/real-world/src/containers/Root.js,javascript
402,redux,examples/real-world/src/containers/DevTools.js,javascript
403,redux,examples/real-world/src/containers/App.js,javascript
404,redux,examples/real-world/src/reducers/paginate.js,javascript
405,redux,examples/real-world/src/reducers/index.js,javascript
406,redux,examples/real-world/src/store/configureStore.prod.js,javascript
407,redux,examples/real-world/src/store/configureStore.dev.js,javascript
408,redux,examples/real-world/src/store/configureStore.js,javascript
409,redux,examples/shopping-cart/src/index.js,javascript
410,redux,examples/shopping-cart/src/setupTests.js,javascript
411,redux,examples/shopping-cart/src/constants/ActionTypes.js,javascript
412,redux,examples/shopping-cart/src/components/ProductItem.spec.js,javascript
413,redux,examples/shopping-cart/src/components/ProductsList.spec.js,javascript
414,redux,examples/shopping-cart/src/components/Cart.js,javascript
415,redux,examples/shopping-cart/src/components/Product.spec.js,javascript
416,redux,examples/shopping-cart/src/components/ProductItem.js,javascript
