repository_name,file_path,language,loc,complexity,maintainability_index,commit_count,modification_count,contributor_count,commit_frequency,repository_age_days,bug_fix_commit_count,historical_risk_label
axios,tests/unit/helpers/validator.test.js,javascript,63,7,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/helpers/buildURL.test.js,javascript,163,27,-1.0,5,5,3,0.0011587485515643,4315,4,HIGH
axios,tests/unit/helpers/shouldBypassProxy.test.js,javascript,228,52,-1.0,6,6,2,0.0013904982618771,4315,5,HIGH
axios,tests/unit/helpers/Http2Sessions.test.js,javascript,139,21,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/helpers/parseHeaders.test.js,javascript,37,4,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/helpers/isAbsoluteURL.test.js,javascript,20,5,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/helpers/spread.test.js,javascript,17,5,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/helpers/progressEventReducer.test.js,javascript,41,5,-1.0,2,2,2,0.0004634994206257,4315,1,MEDIUM
axios,tests/unit/helpers/isAxiosError.test.js,javascript,17,5,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/helpers/formDataToJSON.test.js,javascript,126,15,-1.0,4,4,2,0.0009269988412514,4315,4,HIGH
axios,tests/unit/helpers/combineURLs.test.js,javascript,19,6,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/helpers/bind.test.js,javascript,11,3,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/helpers/formDataToStream.test.js,javascript,124,19,-1.0,2,2,1,0.0004634994206257,4315,2,MEDIUM
axios,tests/unit/helpers/resolveConfig.test.js,javascript,81,8,-1.0,2,2,2,0.0004634994206257,4315,2,MEDIUM
axios,tests/module/esm/vitest.config.js,javascript,16,1,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
